area,check,status,evidence,detail
gf180mcu_3v3_12t_2r2w_sram_512x32,Magic PEX extraction,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x32/pex/gf180mcu_3v3_12t_2r2w_sram_512x32.magic_pex.log,"rc_spice_bytes=1014733, stats={'subckt': 2, 'resistors': 2105, 'capacitors': 0, 'mos': 0, 'instances': 1216}, has_rc=True"
gf180mcu_3v3_12t_2r2w_sram_512x32,Final abstract pin LVS,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x32/pex/gf180mcu_3v3_12t_2r2w_sram_512x32.current_pdk.spice,"ref_pins=171, extracted_pins=171, missing=[], extra=[]"
gf180mcu_3v3_12t_2r2w_sram_512x32,Full-GDS device extraction/short audit,PASS,reports/full_gds_lvs_pex_no_rc_all/MANIFEST.json,"full-GDS extract PASS, shorts=0, subckts=10, instances=3750, lvs_spice=reports/full_gds_lvs_pex_no_rc_all/gf180mcu_3v3_12t_2r2w_sram_512x32/gf180mcu_3v3_12t_2r2w_sram_512x32.full_gds.current_pdk.spice"
gf180mcu_3v3_12t_2r2w_sram_512x32,KLayout GF180 density deck,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x32/density/gf180mcu_3v3_12t_2r2w_sram_512x32.density.lyrdb,"returncode=0, violations=0, sample_categories=[]"
gf180mcu_3v3_12t_2r2w_sram_512x32,KLayout GF180 antenna deck,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x32/antenna/gf180mcu_3v3_12t_2r2w_sram_512x32.antenna.lyrdb,"returncode=0, violations=0, sample_categories=[]"
gf180mcu_3v3_12t_2r2w_sram_512x32,Local EM/IR power strap audit,WARN,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/macros/gf180mcu_3v3_12t_2r2w_sram_512x32/abstract/gf180mcu_3v3_12t_2r2w_sram_512x32.pins.json,"proxy pass: M5 VSS=40.0um, VDD=24.0um over 1004.0um; 32 column ties. No solver-grade current map."
gf180mcu_3v3_12t_2r2w_sram_512x8,Magic final macro DRC,PASS,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/reports/final_physical/gf180mcu_3v3_12t_2r2w_sram_512x8/layout/gf180mcu_3v3_12t_2r2w_sram_512x8.drc.log,"manifest_drc=0, parsed_drc=0"
gf180mcu_3v3_12t_2r2w_sram_512x8,Magic PEX extraction,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x8/pex/gf180mcu_3v3_12t_2r2w_sram_512x8.magic_pex.log,"rc_spice_bytes=269487, stats={'subckt': 2, 'resistors': 537, 'capacitors': 0, 'mos': 0, 'instances': 448}, has_rc=True"
gf180mcu_3v3_12t_2r2w_sram_512x8,Final abstract pin LVS,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x8/pex/gf180mcu_3v3_12t_2r2w_sram_512x8.current_pdk.spice,"ref_pins=75, extracted_pins=75, missing=[], extra=[]"
gf180mcu_3v3_12t_2r2w_sram_512x8,Full-GDS device extraction/short audit,PASS,reports/full_gds_lvs_pex_no_rc_all/MANIFEST.json,"full-GDS extract PASS, shorts=0, subckts=10, instances=1862, lvs_spice=reports/full_gds_lvs_pex_no_rc_all/gf180mcu_3v3_12t_2r2w_sram_512x8/gf180mcu_3v3_12t_2r2w_sram_512x8.full_gds.current_pdk.spice"
gf180mcu_3v3_12t_2r2w_sram_512x8,KLayout GF180 density deck,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x8/density/gf180mcu_3v3_12t_2r2w_sram_512x8.density.lyrdb,"returncode=0, violations=0, sample_categories=[]"
gf180mcu_3v3_12t_2r2w_sram_512x8,KLayout GF180 antenna deck,PASS,reports/local_signoff_full/gf180mcu_3v3_12t_2r2w_sram_512x8/antenna/gf180mcu_3v3_12t_2r2w_sram_512x8.antenna.lyrdb,"returncode=0, violations=0, sample_categories=[]"
gf180mcu_3v3_12t_2r2w_sram_512x8,Local EM/IR power strap audit,WARN,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/macros/gf180mcu_3v3_12t_2r2w_sram_512x8/abstract/gf180mcu_3v3_12t_2r2w_sram_512x8.pins.json,"proxy pass: M5 VSS=40.0um, VDD=24.0um over 585.6um; 16 column ties. No solver-grade current map."
SNM proxy,12T VDD sweep ngspice,PASS,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/verification/results/spice,missing=[] bad=[] checked=8 packaged_logs=/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/verification/results/spice
SNM proxy,12T disturb/conflict ngspice,PASS,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/verification/results/spice,missing=[] bad=[] checked=10 packaged_logs=/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/verification/results/spice
SNM proxy,Packaged SNM/read-disturb proxy coverage,PASS,/home/yevhenii/gf180mcu-3v3-12t-2r2w-sram-macro/verification/results/spice,"local proxy closed by VDD sweep plus disturb/conflict logs; final extracted-RC butterfly SNM remains characterization scope, not a local package blocker"
PEX,512x8 full-GDS VDD/VSS RC smoke,PASS,reports/full_gds_lvs_pex_power_rc/MANIFEST.json,"macros=['gf180mcu_3v3_12t_2r2w_sram_512x8'], shorts=0, rc_spice_bytes=[655286]"
